title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
New construction,,Herndon,VA,20171,"$524,990",524991,,,"2 bds, 2.0 ba ,1469 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2324-Wind-Charm-St-4-Herndon-VA-20171/2078594968_zpid/
Condo for sale,,Herndon,VA,20171,"$644,990",,,,"3 bds, 3.0 ba ,2498 sqft",RE/MAX Gateway,https://www.zillow.com/homedetails/0-Milling-Stone-Ter-1-Herndon-VA-20171/2080225038_zpid/
New construction,,Herndon,VA,20171,"$562,840",562845,,,"2 bds, 2.0 ba ,1495 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2329-Wind-Charm-St-20103-Herndon-VA-20171/2080066691_zpid/
New construction,,Herndon,VA,20171,"$551,465",551467,2200,0.4,"2 bds, 2.0 ba ,1469 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/2329-Wind-Charm-St-20403-Herndon-VA-20171/2081783802_zpid/
New construction,,Herndon,VA,20171,"$563,740",,,,"2 bds, 2.0 ba ,1515 sqft",Pulte Homes,https://www.zillow.com/homedetails/2329-Wind-Charm-St-UNIT-407-Herndon-VA-20171/2078868082_zpid/
New construction,,Herndon,VA,20171,"$610,715",641826,,,"2 bds, 2.0 ba ,1658 sqft",Pulte Homes,https://www.zillow.com/homedetails/2329-Wind-Charm-St-UNIT-108-Herndon-VA-20171/2080736518_zpid/
Coming soon,,Oak Hill,VA,20171,"$434,900",453113,2200,0.49,"3 bds, 3.0 ba ,2154 sqft",Tolga M Alper,https://www.zillow.com/homedetails/2522-Pascal-Pl-Oak-Hill-VA-20171/82741888_zpid/
Pre-foreclosure,,Herndon,VA,20171,,1636931,2450,0.15,"5 bds, 7.0 ba ,8500 sqft",,https://www.zillow.com/homedetails/2929-W-Ox-Rd-Herndon-VA-20171/51734320_zpid/
Pre-foreclosure,,Herndon,VA,20171,,721271,3200,0.44,"4 bds, 2.5 ba ,2780 sqft",,https://www.zillow.com/homedetails/13318-Glen-Taylor-Ln-Herndon-VA-20171/51732234_zpid/
Pre-foreclosure,,Herndon,VA,20171,,635746,2800,0.44,"4 bds, 4.0 ba ,1800 sqft",,https://www.zillow.com/homedetails/12712-Carlsbad-Ct-Herndon-VA-20171/51733608_zpid/
Pre-foreclosure,,Herndon,VA,20171,,1384482,5555,0.4,"4 bds, 4.5 ba ,5084 sqft",,https://www.zillow.com/homedetails/12502-Nathaniel-Oaks-Dr-Herndon-VA-20171/51764919_zpid/
Pre-foreclosure,,Herndon,VA,20171,,1065914,4349,0.41,"5 bds, 5.0 ba ,4321 sqft",,https://www.zillow.com/homedetails/3285-Willow-Glen-Dr-Herndon-VA-20171/51763132_zpid/
